co_kV:	690.0026667
co_mA:	34689.19811
co_sec:	29106
co_D:	-67396.55975
co_size_times:	3.9982002504686105

calculate formula:
DAP_uGym2 = (co_kV*kV + co_mA*mA + co_sec*sec + co_D) * co_size_times / 100000


kV	uA	ms	DAP_uGym2
65	1250	700	1.6468311444842814
65	1250	800	1.763202760974421
65	1250	900	1.8795743774645601
65	1250	1000	1.9959459939546995
65	1250	1100	2.1123176104448396
65	1250	1250	2.286875035180048
65	1250	1400	2.461432459915257
65	1575	500	1.8648445833628637
65	1575	550	1.9230303916079337
65	1575	625	2.0103091039755383
65	1575	700	2.0975878163431423
65	1575	800	2.213959432833282
65	1575	900	2.330331049323421
65	1575	1000	2.4467026658135604
65	1575	1100	2.5630742823037003
65	1575	1250	2.7376317070389087
65	1575	1400	2.912189131774118
65	2000	500	2.4542956157936824
65	2000	550	2.512481424038752
65	2000	625	2.5997601364063563
65	2000	700	2.687038848773961
65	2000	800	2.8034104652641
65	2000	900	2.919782081754239
65	2000	1000	3.036153698244379
65	2000	1100	3.1525253147345187
65	2000	1250	3.3270827394697275
65	2000	1400	3.5016401642049364
65	2500	500	3.1477674186534683
65	2500	550	3.2059532268985373
65	2500	625	3.2932319392661427
65	2500	700	3.380510651633747
65	2500	800	3.496882268123886
65	2500	900	3.6132538846140254
65	2500	1000	3.729625501104165
65	2500	1100	3.8459971175943046
65	2500	1250	4.0205545423295135
65	2500	1400	4.195111967064723
65	3150	500	4.04928076237119
65	3150	550	4.10746657061626
65	3150	625	4.194745282983864
65	3150	700	4.282023995351469
65	3150	800	4.398395611841608
65	3150	900	4.514767228331748
65	3150	1000	4.631138844821887
65	3150	1100	4.747510461312027
65	3150	1250	4.922067886047236
65	3150	1400	5.096625310782445
65	4000	500	5.228182827232827
65	4000	550	5.286368635477896
65	4000	625	5.373647347845501
65	4000	700	5.460926060213106
65	4000	800	5.577297676703243
65	4000	900	5.693669293193384
65	4000	1000	5.810040909683523
65	4000	1100	5.926412526173664
65	4000	1250	6.100969950908872
65	4000	1400	6.2755273756440815
65	5000	500	6.615126432952398
65	5000	550	6.6733122411974675
65	5000	625	6.760590953565073
65	5000	700	6.847869665932678
65	5000	800	6.964241282422816
65	5000	900	7.080612898912957
65	5000	1000	7.196984515403096
65	5000	1100	7.313356131893236
65	5000	1250	7.487913556628444
65	5000	1400	7.662470981363654
66	500	500	0.40146789556256257
66	500	550	0.4596537038076324
66	500	625	0.5469324161752368
66	500	700	0.6342111285428412
66	500	800	0.7505827450329807
66	500	900	0.8669543615231199
66	500	1000	0.9833259780132595
66	500	1100	1.099697594503399
66	500	1250	1.274255019238608
66	500	1400	1.4488124439738168
66	625	500	0.5748358462775092
66	625	550	0.6330216545225789
66	625	625	0.7203003668901833
66	625	700	0.8075790792577877
66	625	800	0.9239506957479273
66	625	900	1.0403223122380663
66	625	1000	1.156693928728206
66	625	1100	1.2730655452183457
66	625	1250	1.4476229699535546
66	625	1400	1.6221803946887632
66	800	500	0.8175509772784343
66	800	550	0.8757367855235041
66	800	625	0.9630154978911084
66	800	700	1.050294210258713
66	800	800	1.1666658267488526
66	800	900	1.2830374432389915
66	800	1000	1.399409059729131
66	800	1100	1.515780676219271
66	800	1250	1.6903381009544798
66	800	1400	1.8648955256896886
66	1000	500	1.0949396984223487
66	1000	550	1.1531255066674184
66	1000	625	1.240404219035023
66	1000	700	1.3276829314026273
66	1000	800	1.444054547892767
66	1000	900	1.560426164382906
66	1000	1000	1.6767977808730457
66	1000	1100	1.7931693973631853
66	1000	1250	1.9677268220983941
66	1000	1400	2.1422842468336025
66	1250	500	1.4416755998522417
66	1250	550	1.4998614080973116
66	1250	625	1.5871401204649163
66	1250	700	1.6744188328325205
66	1250	800	1.79079044932266
66	1250	900	1.9071620658127992
66	1250	1000	2.0235336823029386
66	1250	1100	2.1399052987930784
66	1250	1250	2.3144627235282873
66	1250	1400	2.489020148263496
66	1575	500	1.8924322717111028
66	1575	550	1.9506180799561728
66	1575	625	2.037896792323777
66	1575	700	2.1251755046913816
66	1575	800	2.241547121181521
66	1575	900	2.3579187376716604
66	1575	1000	2.4742903541617998
66	1575	1100	2.5906619706519396
66	1575	1250	2.765219395387148
66	1575	1400	2.939776820122357
66	2000	500	2.4818833041419213
66	2000	550	2.5400691123869907
66	2000	625	2.627347824754595
66	2000	700	2.7146265371222005
66	2000	800	2.830998153612339
66	2000	900	2.9473697701024784
66	2000	1000	3.063741386592618
66	2000	1100	3.180113003082758
66	2000	1250	3.3546704278179664
66	2000	1400	3.5292278525531757
66	2500	500	3.175355107001707
66	2500	550	3.2335409152467767
66	2500	625	3.3208196276143815
66	2500	700	3.4080983399819864
66	2500	800	3.524469956472125
66	2500	900	3.6408415729622647
66	2500	1000	3.757213189452404
66	2500	1100	3.873584805942544
66	2500	1250	4.048142230677753
66	2500	1400	4.222699655412962
66	3150	500	4.07686845071943
66	3150	550	4.135054258964499
66	3150	625	4.222332971332104
66	3150	700	4.309611683699708
66	3150	800	4.425983300189847
66	3150	900	4.542354916679987
66	3150	1000	4.658726533170126
66	3150	1100	4.775098149660266
66	3150	1250	4.949655574395475
66	3150	1400	5.124212999130683
66	4000	500	5.255770515581065
66	4000	550	5.313956323826134
66	4000	625	5.401235036193739
66	4000	700	5.488513748561345
66	4000	800	5.604885365051483
66	4000	900	5.721256981541624
66	4000	1000	5.837628598031762
66	4000	1100	5.954000214521903
66	4000	1250	6.12855763925711
66	4000	1400	6.303115063992321
66	5000	500	6.642714121300638
66	5000	550	6.700899929545707
66	5000	625	6.788178641913312
66	5000	700	6.875457354280917
66	5000	800	6.9918289707710555
66	5000	900	7.108200587261196
66	5000	1000	7.224572203751334
66	5000	1100	7.340943820241476
66	5000	1250	7.515501244976683
66	5000	1400	7.690058669711893
67	500	500	0.4290555839108023
67	500	550	0.4872413921558721
67	500	625	0.5745201045234766
67	500	700	0.661798816891081
67	500	800	0.7781704333812205
67	500	900	0.8945420498713601
67	500	1000	1.010913666361499
67	500	1100	1.1272852828516389
67	500	1250	1.3018427075868477
67	500	1400	1.4764001323220566
67	625	500	0.6024235346257488
67	625	550	0.6606093428708186
67	625	625	0.747888055238423
67	625	700	0.8351667676060275
67	625	800	0.9515383840961671
67	625	900	1.0679100005863067
67	625	1000	1.1842816170764459
